url_path,views_total,views_unique
/stablecaps/eyes3scribe/blob/master/README.md,6,1
/stablecaps/eyes3scribe,5,4
/stablecaps/eyes3scribe/blob/master/images/launcher.svg,5,2
/stablecaps/eyes3scribe/tree/master/eyes3scribe,5,2
/stablecaps/eyes3scribe/tree/master/custom_assets,5,1
/stablecaps/eyes3scribe/blob/master/eyes3scribe/gen_mkdocs_nav_bar.py,4,1
/stablecaps/eyes3scribe/blob/master/Makefile,3,1
/stablecaps/eyes3scribe/blob/master/pyproject.toml,3,1
/stablecaps/eyes3scribe/blob/master/requirements-dev.txt,3,1
/stablecaps/eyes3scribe/blob/master/requirements.txt,3,1
